DATE_TIME,FROZEN_CM,THAW_CM,WATER_CONTENT_CM,SNOW_COVER_CM,TERRAIN,SITE
1958-12-03,8,,7.6,29,3,скв.107а
1958-12-03,8,,4.7,34,2,скв.107а
1958-12-03,10,,3.4,5,1,скв.108
1958-12-03,3,,2.5,5,0,скв.108
1958-12-03,11,,5.6,5,1,уч.4
1958-12-03,2,,1,3,0,уч.4
1958-12-10,9,,4.9,19,1,скв.105
1958-12-10,4,,2.4,27,0,скв.105
1958-12-10,8,,7.5,20,3,скв.107а
1958-12-10,4,,3.3,21,2,скв.107а
1958-12-10,13,,5.4,13,1,скв.108
1958-12-10,6,,4.5,25,0,скв.108
1958-12-10,11,,6.5,21,1,уч.4
1958-12-10,5,,3.3,27,0,уч.4
1958-12-22,10,,2.2,29,1,скв.105
1958-12-22,2,,2.2,29,0,скв.105
1958-12-22,10,,5.8,21,3,скв.107а
1958-12-22,5,,5,28,2,скв.107а
1958-12-22,14,,7.6,30,1,скв.108
1958-12-22,2,2,1.5,29,0,скв.108
1958-12-22,11,,7,28,1,уч.4
1958-12-22,3,,1.4,28,0,уч.4
1958-12-31,13,,7.8,32,1,скв.105
1958-12-31,3,,2.2,34,0,скв.105
1958-12-31,9,,5.9,27,3,скв.107а
1958-12-31,8,,8,35,2,скв.107а
1958-12-31,20,,12.3,37,1,скв.108
1958-12-31,4,,2.8,34,0,скв.108
1958-12-31,12,,6.3,37,1,уч.4
1958-12-31,4,,3.1,40,0,уч.4
1959-01-10,8,,3.2,54,1,скв.105
1959-01-10,4,,2.4,62,0,скв.105
1959-01-10,9,,6.1,46,3,скв.107а
1959-01-10,6,,5.6,57,2,скв.107а
1959-01-10,16,,6.6,51,1,скв.108
1959-01-10,4,,3,60,0,скв.108
1959-01-10,11,,6.6,47,1,уч.4
1959-01-10,4,,2.4,,0,уч.4
1959-01-20,10,,7,63,1,скв.105
1959-01-20,2,,1.9,67,0,скв.105
1959-01-20,10,,6.6,51,3,скв.107а
1959-01-20,7,,6.8,61,2,скв.107а
1959-01-20,17,,7.9,58,1,скв.108
1959-01-20,3,,2.2,64,0,скв.108
1959-01-20,8,,3.4,59,1,уч.4
1959-01-20,3,,1.9,,0,уч.4
1959-02-02,7,,4.8,65,1,скв.105
1959-02-02,1,,0.4,65,0,скв.105
1959-02-02,10,,6.8,57,3,скв.107а
1959-02-02,5,,4.6,69,2,скв.107а
1959-02-02,12,,6.2,59,1,скв.108
1959-02-02,2,,1.9,64,0,скв.108
1959-02-02,7,,4.4,66,1,уч.4
1959-02-02,0,,,,0,уч.4
1959-02-10,8,,4.4,55,1,скв.105
1959-02-10,1,,1,60,0,скв.105
1959-02-10,11,,7,49,3,скв.107а
1959-02-10,4,,3.3,54,2,скв.107а
1959-02-10,13,,7.5,53,1,скв.108
